1	Aeronautics Mixed Aeronautics	Aeronautics
2	Alpine Skiing Women's Super G	Alpine Skiing
3	Alpine Skiing Women's Combined	Alpine Skiing
4	Alpine Skiing Women's Slalom	Alpine Skiing
5	Alpine Skiing Men's Slalom	Alpine Skiing
6	Alpine Skiing Men's Combined	Alpine Skiing
7	Alpine Skiing Men's Giant Slalom	Alpine Skiing
8	Alpine Skiing Men's Super G	Alpine Skiing
9	Alpine Skiing Men's Downhill	Alpine Skiing
10	Alpine Skiing Women's Downhill	Alpine Skiing
11	Alpine Skiing Women's Giant Slalom	Alpine Skiing
12	Alpinism Mixed Alpinism	Alpinism
13	Archery Men's Target Archery, 50 metres, Individual	Archery
14	Archery Men's Pole Archery, Small Birds, Team	Archery
15	Archery Women's Individual	Archery
16	Archery Men's Target Archery, 50 metres, Team	Archery
17	Archery Men's Team	Archery
18	Archery Men's Target Archery, 28 metres, Individual	Archery
19	Archery Men's Pole Archery, Large Birds, Team	Archery
20	Archery Women's Team	Archery
21	Archery Men's Individual	Archery
22	Archery Men's Target Archery, 33 metres, Team	Archery
23	Archery Men's Pole Archery, Small Birds, Individual	Archery
24	Archery Men's Target Archery, 33 metres, Individual	Archery
25	Archery Men's Target Archery, 28 metres, Team	Archery
26	Archery Men's Pole Archery, Large Birds, Individual	Archery
27	Athletics Women's 1,500 metres	Athletics
28	Athletics Men's Decathlon	Athletics
29	Athletics Men's 100 metres	Athletics
30	Athletics Women's 4 x 100 metres Relay	Athletics
31	Athletics Men's Triple Jump	Athletics
32	Athletics Women's 3,000 metres Steeplechase	Athletics
33	Athletics Women's Heptathlon	Athletics
34	Athletics Men's 50 kilometres Walk	Athletics
35	Athletics Men's Cross-Country, Individual	Athletics
36	Athletics Women's Hammer Throw	Athletics
37	Athletics Men's Cross-Country, Team	Athletics
38	Athletics Men's 10,000 metres	Athletics
39	Athletics Women's 5,000 metres	Athletics
40	Athletics Women's 20 kilometres Walk	Athletics
41	Athletics Men's 5,000 metres	Athletics
42	Athletics Women's Discus Throw	Athletics
43	Athletics Men's 10 kilometres Walk	Athletics
44	Athletics Women's 100 metres	Athletics
45	Athletics Women's 100 metres Hurdles	Athletics
46	Athletics Women's 3,000 metres	Athletics
47	Athletics Men's Javelin Throw	Athletics
48	Athletics Women's Triple Jump	Athletics
49	Athletics Women's Marathon	Athletics
50	Athletics Men's Hammer Throw	Athletics
51	Athletics Women's Long Jump	Athletics
52	Athletics Women's Shot Put	Athletics
53	Athletics Men's High Jump	Athletics
54	Athletics Men's 400 metres Hurdles	Athletics
55	Athletics Women's 200 metres	Athletics
56	Athletics Women's Pentathlon	Athletics
57	Athletics Women's 400 metres	Athletics
58	Athletics Men's 56-pound Weight Throw	Athletics
59	Athletics Women's Javelin Throw	Athletics
60	Athletics Men's 4 x 100 metres Relay	Athletics
61	Athletics Women's 10 kilometres Walk	Athletics
62	Athletics Men's 3,000 metres Steeplechase	Athletics
63	Athletics Men's 4 x 400 metres Relay	Athletics
64	Athletics Men's 3,000 metres Walk	Athletics
65	Athletics Women's 10,000 metres	Athletics
66	Athletics Men's Discus Throw	Athletics
67	Athletics Men's 1,500 metres	Athletics
68	Athletics Women's 4 x 400 metres Relay	Athletics
69	Athletics Men's Shot Put	Athletics
70	Athletics Women's 400 metres Hurdles	Athletics
71	Athletics Women's 80 metres Hurdles	Athletics
72	Athletics Men's Marathon	Athletics
73	Athletics Men's Pentathlon	Athletics
74	Athletics Men's 200 metres	Athletics
75	Athletics Men's 110 metres Hurdles	Athletics
76	Athletics Men's Long Jump	Athletics
77	Athletics Women's 800 metres	Athletics
78	Athletics Men's Pole Vault	Athletics
79	Athletics Men's 20 kilometres Walk	Athletics
80	Athletics Women's Pole Vault	Athletics
81	Athletics Men's 3,000 metres, Team	Athletics
82	Athletics Women's High Jump	Athletics
83	Athletics Men's 800 metres	Athletics
84	Athletics Men's 400 metres	Athletics
85	Badminton Mixed Doubles	Badminton
86	Badminton Men's Singles	Badminton
87	Badminton Men's Doubles	Badminton
88	Badminton Women's Doubles	Badminton
89	Badminton Women's Singles	Badminton
90	Baseball Men's Baseball	Baseball
91	Basketball Women's Basketball	Basketball
92	Basketball Men's Basketball	Basketball
93	Beach Volleyball Men's Beach Volleyball	Beach Volleyball
94	Beach Volleyball Women's Beach Volleyball	Beach Volleyball
95	Biathlon Women's 10 kilometres Pursuit	Biathlon
96	Biathlon Men's 12.5 kilometres Pursuit	Biathlon
97	Biathlon Men's 20 kilometres	Biathlon
98	Biathlon Women's 7.5 kilometres Sprint	Biathlon
99	Biathlon Women's 4 x 7.5 kilometres Relay	Biathlon
